Date_Picked,Species ,Bag_Number,End_Mass,MassPlusBag,MassPlusBagDried,Week_Collected ,Shore_or_Water,Tag Number
8/16/23,Fluitans,14,6.37,8.777,,One,Shore,
8/16/23,Natans 8,14,4.159,9.505,,One,Shore,
8/16/23,Fluitans,13,7.44,9.801,,One,Shore,
8/16/23,Natans 8,13,7.122,6.539,,One,Shore,
8/16/23,Natans 1,9,6.142,8.505,,One,Shore,
8/16/23,Fluitans,9,7.519,9.869,,One,Shore,
8/16/23,Natans 8,9,7.2,9.508,,One,Shore,
8/16/23,Natans 8,1,7.747,10.186,,One,Shore,
8/16/23,Fluitans,1,6.671,9.121,,One,Shore,
8/16/23,Natans 1,1,5.626,7.946,,One,Shore,
8/16/23,Fluitans,1,32.451,34.753,,One,Water,
8/16/23,Natans 8,1,34.988,37.279,,One,Water,
8/16/23,Natans 1,1,11.073,13.458,,One,Water,
8/16/23,Fluitans,4,22.752,25.111,,One,Water,
8/16/23,Natans 8,4,35.468,37.81,,One,Water,
8/16/23,Natans 1,4,16.833,19.206,,One,Water,
8/16/23,Natans 8,2,28.509,30.833,,One,Water,
8/16/23,Natans 1,2,10.958,13.319,,One,Water,
8/16/23,Fluitans,2,31.108,33.387,,One,Water,
8/16/23,Fluitans,14,23.63,25.948,,One,Water,
8/16/23,Natans 8,14,43.74,45.979,,One,Water,
8/16/23,Natans 8,15,26.712,29.045,,One,Water,
8/16/23,Fluitans,15,37.11,39.412,,One,Water,
8/23/23,Natans 8,13,41.078,43.308,,Two,Water,G70
8/23/23,Fluitans,13,22.678,24.989,,Two,Water,G4
8/23/23,Fluitans,6,10.254,12.627,,Two,Water,G18
8/23/23,Natans 8,6,35.021,37.317,,Two,Water,G10
8/23/23,Natans 1,6,3.252,5.612,,Two,Water,G24
8/23/23,Fluitans,10,9.161,11.518,,Two,Water,G19
8/23/23,Natans 8,10,28.13,30.489,,Two,Water,G13
8/23/23,Natans 1,8,7.176,9.561,,Two,Water,G12
8/23/23,Natans 8,8,29.399,31.764,,Two,Water,G50
8/23/23,Fluitans,8,15.312,17.727,,Two,Water,G48
8/23/23,Natans 1,3,6.785,9.098,,Two,Water,G1
8/23/23,Natans 8,3,26.905,29.01,,Two,Water,G2
8/23/23,Fluitans,3,21.969,24.276,,Two,Water,G20
8/23/23,Fluitans,12,10.996,13.411,,Two,Shore,B42
8/23/23,Natans 8,12,6.199,8.6,,Two,Shore,B73
8/23/23,Fluitans,4,10.655,13.019,,Two,Shore,B65
8/23/23,Natans 1,4,8.27,10.644,,Two,Shore,B76
8/23/23,Natans 8,4,6.337,8.706,,Two,Shore,B77
8/23/23,Fluitans,15,8.647,11.082,,Two,Shore,B55
8/23/23,Natans 8,15,5.274,7.701,,Two,Shore,B63